"id","repository_name","home_page","oai_pmh"
2672,Repositorio Institucional de la Universidad de Oviedo,http://digibuo.uniovi.es/,http://digibuo.uniovi.es/dspace-oai/request
2673,University of Zululand Repository,http://uzspace.uzulu.ac.za/,
2674,University of Sunderland's Electronic Repository,http://sure.sunderland.ac.uk/,http://sure.sunderland.ac.uk/cgi/oai2
2675,Biblioteca Digital de la Comunidad de Madrid,http://www.bibliotecavirtualmadrid.org/bvmadrid_publicacion/i18n/estaticos/contenido.cmd?pagina=estaticos/presentacion,
2676,National Agricultural Library Digital Repository,http://naldc.nal.usda.gov/,
2677,Colecciones Digitales Uniminuto,http://dspace.uniminuto.edu:8080/jspui/,
2678,Detroit Public Library: E. Azalia Hackley Collection,http://www.thehackley.org/about.html,
2679,E-resource repository of the University of Latvia,https://dspace.lu.lv/dspace/,http://dspace.lu.lv/oai/request
2680,NSTDA Knowledge Repository,http://stks.or.th/nstdair/,
2681,BOA Bicocca Open Archive,http://boa.unimib.it/,http://boa.unimib.it/dspace-oai/request
2682,Repositório Institucional da Universidade de Aveiro,http://ria.ua.pt/,http://ria.ua.pt/oaiextended/request
2683,OpenstarTs,http://www.openstarts.units.it/,http://www.openstarts.units.it/dspace-oai/request
2684,Brage UMB,http://brage.bibsys.no/umb/,http://brage.bibsys.no/umb/request
2685,EEPIS Proceeding,http://ies.eepis-its.edu/prosiding/,http://ies.eepis-its.edu/prosiding/cgi/oai2
2686,Digital Library Federation Publications,http://old.diglib.org/publications.htm,
2687,Indian Institute of Management Kozhikode Digital Library,http://www.iimk.ac.in/gsdl/cgi-bin/library,
2688,Graduate School Section of the eTD database,https://etda.libraries.psu.edu/,
2689,IBSS Repository,http://repository.ibss.org.ua/dspace/,http://repository.ibss.org.ua/dspace-oai/request
2690,Bulgarian OpenAIRE Repository,http://www.bg-openaire.eu/,http://www.bg-openaire.eu/oaiextended/request
2691,Swansea Metropolitan University Repository,http://dspace.smu.ac.uk/,http://dspace.smu.ac.uk/dspace-oai/request
2692,Biblioteca Virtual del la Universidad Tecnológica de El Salvador,http://biblioteca.utec.edu.sv/siabsb7/siab/opac3,http://biblioteca.utec.edu.sv
2693,Council of Independent Colleges Historic Campus Architecture Project,http://puka.cs.waikato.ac.nz/cgi-bin/cic/library,
2694,ARENA Publications,http://www.sv.uio.no/arena/english/research/publications/,
2695,InsubriaSPACE,http://insubriaspace.cilea.it/,http://insubriaspace.cilea.it/dspace-oai/request
